Spotify ID,Title,Artist,Album,Release Date,Popularity
1oN4ppgyGRB7F2UPKpSt8b,Beautiful Sajna [TELUGU],"DR. NITZ a.k.a NITIN 'NITZ' ARORA, Manu Vardhan, Gayathri Suresh, Sonny KC, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
4ano6PYaZDqJftlRyRfF7e,Hey Kinkara [TELUGU],"Santhosh Venky, Rapper Ro, Ravi Basrur",Zebra [TELUGU],2025-01-08,5
5HBjt8diaSjJb5PGJVq0pk,Bela Kali [TELUGU],"Shafaat Ali, Manu Vardhan, Gayathri Suresh, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
7sp3R6nmrIUwm3vBCAZfpq,Desi Banda [TELUGU],"Shafaat Ali, Rahul Saxena, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
07Oe9yLXuPO4TZyvuWTRry,Tere Bina [TELUGU],"Santhosh Venky, Airaa Udupi, Ravi Basrur, Krishna Kanth",Zebra [TELUGU],2025-01-08,7
0SWk7HAU42ZjFchBqra8zU,Aakashamul Gatiyinchina,George Sambathini,Telugu Christian Songs,2025-01-26,2
4kVZW3m6W1nUieiubDAh0l,Pairagaalilaa Raavaelaa (Telugu),"Amarjeet Lourembam, Vygha Santhosh, Bandapati Srinivas, Seshendra Kuricheti",Pairagaalilaa Raavaelaa (Telugu),2025-02-21,5
7t4G70qDZbkcqCKrOwZuM4,Kallalo Kaneerenduku,George Sambathini,Telugu Christian Songs,2025-01-26,2
4V2r1fqxHwLg4FiYJTZ3Pq,Let’S Breakup Ra [TELUGU],"Adithya RK, Punya Selva, A.R. Rahman, Kalpradah",Kadhalikka Neramillai [TELUGU],2025-02-13,12
2feQct9wasnjr6YMGtyWqi,Bhairava Anthem - Rock Mix (Telugu),"IAMPRATHEEK, Diljit Dosanjh, Deepak Blue, Santhosh Narayanan",Bhairava Anthem - Rock Mix (Telugu),2025-01-23,20
5URankeHZC1TgiPInM4ky2,Oh Prema Prema,"Ramya Behara, Suresh Bobbili, Rambabu Gosala",Artiste [TELUGU],2025-03-21,0
5hyWivLWaJ4FSOSyDtNPei,Naa Yesuni Prema Kanna,George Sambathini,Telugu Christian Songs,2025-01-26,1
1jIICkLOts0aBlGXQdCnBO,Prabhu Yesuni Vadanamulo,George Sambathini,Telugu Christian Songs,2025-01-26,1
0hXCElXgS8BfCoOUyd9WCR,Nuvve Naa Oopirive,"S.P. Charan, Suresh Bobbili, Rambabu Gosala",Artiste [TELUGU],2025-03-21,0
5CxU3JekhthyBQ31EhO5b3,BREAKUP ANTHEM (Telugu),"Anivee, Kadali, Dongli Jumbo",BREAKUP ANTHEM (Telugu),2025-01-08,6
2xzyelg4smPcmTvx17BPdY,Naa Priyuda Yesayya,George Sambathini,Telugu Christian Songs,2025-01-26,1
4gvC2FWRrHMHG2GsqN1ng4,Mushy Girl [TELUGU],"DR. NITZ a.k.a NITIN 'NITZ' ARORA, Balaji Sri, Rockzane, Sonny KC, Sairam Mudumba",Kiss Kiss Kissik [TELUGU],2025-03-28,0
